,address,area,date,location,time,type
1180,95055X LANIKUHANA AVE,MILILANI,12/5/2016,WALMART MILILANI,11:29:36 AM,MOTOR VEHICLE COLLISION
1181,KALANIANAOLE HWY&WAIKUI; ST,KAHALA,12/5/2016, ,11:25:44 AM,MOTOR VEHICLE COLLISION
1182,COLLEGE WALK&N; KUKUI ST,DOWNTOWN,12/3/2016, ,9:22:59 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1183,23X H1E FWY,HONOLULU,12/3/2016,H1E PUNAHOU OFF,9:05:09 AM,MOTOR VEHICLE COLLISION
1184,HAIKU RD&KAHEKILI; HWY,KANEOHE,12/3/2016, ,8:58:44 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1185,45051X IOULI PL,KANEOHE,12/3/2016, ,8:55:24 AM,MOTOR VEHICLE COLLISION
1186,HAIKU RD&KAHEKILI; HWY,KANEOHE,12/3/2016, ,8:43:49 AM,TRAFFIC SIGNAL PROBLEM
1187,91166X FORT WEAVER RD,EWA BEACH,12/3/2016,ZIPPYS EWA BEACH,8:42:17 AM,MOTOR VEHICLE COLLISION
1188,87207X FARRINGTON HWY,NANAKULI,12/3/2016,TESORO NANAKULI,8:41:14 AM,MOTOR VEHICLE COLLISION
1189,22X H1W FWY,PUNCHBOWL,12/3/2016,H1W VINEYARD OFF,8:40:11 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1190,152X BERNICE ST,KALIHI,12/3/2016,BISHOP MUSEUM,8:37:59 AM,MOTOR VEHICLE COLLISION
1191,24X H1W FWY,MANOA,12/3/2016,ALEXANDER ONTO H1W,8:34:41 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1192,22X H1W FWY,PUNCHBOWL,12/3/2016,H1W VINEYARD OFF,8:31:19 AM,TRAFFIC NUISANCE OR PARKING VIOLATION
1193,KAIIKUWA ST&KAIMALIE; ST,EWA BEACH,12/3/2016, ,8:24:35 AM,MOTOR VEHICLE COLLISION
1194,S BERETANIA ST&PIIKOI; ST,HONOLULU,12/2/2016, ,9:47:51 PM,HAZARDOUS DRIVER
1195,87072X FARRINGTON HWY,MAILI,12/2/2016,7ELEVEN MAILI,9:44:31 PM,MOTOR VEHICLE COLLISION - TOWED
1196,12X H1E FWY,AIEA,12/2/2016,H1E KAAMILO OP,9:28:49 PM,HAZARDOUS DRIVER
1197,56050X KAM HWY,KAHUKU,12/2/2016,KAHUKU SUPERETTE,9:15:53 PM,HAZARDOUS DRIVER
1198,LIKELIKE FROM H1W,KALIHI,12/2/2016,H1W LIKELIKE OFF,9:15:39 PM,HAZARDOUS DRIVER
